Date,bitcoin,gold
2016/9/11,621.65,NA
2016/9/12,609.67,1324.6
2016/9/13,610.92,1323.65
2016/9/14,608.82,1321.75
2016/9/15,610.38,1310.8
2016/9/16,609.11,1308.35
2016/9/17,607.04,NA
2016/9/18,611.58,NA
2016/9/19,610.19,1314.85
2016/9/20,608.66,1313.8
2016/9/21,598.88,1326.1
2016/9/22,597.42,1339.1
2016/9/23,594.08,1338.65
2016/9/24,603.88,NA
2016/9/25,601.74,NA
2016/9/26,598.98,1340.5
2016/9/27,605.96,1327
2016/9/28,605.67,1322.5
2016/9/29,603.85,1318.1
2016/9/30,609.39,1322.5
2016/10/1,614.82,NA
2016/10/2,612.98,NA
2016/10/3,611.85,1313.3
2016/10/4,609.62,1283.3
2016/10/5,607.18,1269.4
2016/10/6,612.08,1254.5
2016/10/7,617.21,1258.75
2016/10/8,614.74,NA
2016/10/9,615.65,NA
2016/10/10,617.54,1259.5
2016/10/11,614.77,1253.45
2016/10/12,635.01,1256.5
2016/10/13,635.96,1261.05
2016/10/14,634.02,1251.75
2016/10/15,637.94,NA
2016/10/16,641.42,NA
2016/10/17,638.97,1254.8
2016/10/18,636.29,1258.2
2016/10/19,629.25,1269.05
2016/10/20,627.72,1271.65
2016/10/21,631.92,1266.05
2016/10/22,655.48,NA
2016/10/23,653.25,NA
2016/10/24,651.39,1265.55
2016/10/25,655.31,1269.4
2016/10/26,651.45,1270.5
2016/10/27,682.22,1266.25
2016/10/28,687.68,1273
2016/10/29,685.91,NA
2016/10/30,698,NA
2016/10/31,702,1272
2016/11/1,697.01,1288.45
2016/11/2,733.33,1303.75
2016/11/3,686.17,1301
2016/11/4,683.69,1302.8
2016/11/5,704.79,NA
2016/11/6,712,NA
2016/11/7,709.96,1283.05
2016/11/8,708.97,1282.35
2016/11/9,720.93,1281.4
2016/11/10,721.5,1267.5
2016/11/11,715.45,1236.45
2016/11/12,703.71,NA
2016/11/13,702.28,NA
2016/11/14,706.46,1213.6
2016/11/15,710.91,1226.95
2016/11/16,711.73,1229.2
2016/11/17,736.96,1226.75
2016/11/18,747.52,1211
2016/11/19,748.98,NA
2016/11/20,729.06,NA
2016/11/21,738.53,1214.25
2016/11/22,736.97,1212.25
2016/11/23,741.63,1185.35
2016/11/24,737.45,1186.1
2016/11/25,735.64,1187.7
2016/11/26,733.67,NA
2016/11/27,727.96,NA
2016/11/28,727.31,1187
2016/11/29,732.71,1186.55
2016/11/30,742.69,1178.1
2016/12/1,742.05,1161.85
2016/12/2,772.43,1173.5
2016/12/3,764.33,NA
2016/12/4,762.97,NA
2016/12/5,754.63,1162.2
2016/12/6,756.62,1172.5
2016/12/7,758.99,1177.65
2016/12/8,769.72,1171.05
2016/12/9,770.02,1163.6
2016/12/10,769.08,NA
2016/12/11,777,NA
2016/12/12,777,1156.1
2016/12/13,777.99,1158.55
2016/12/14,774.89,1162.25
2016/12/15,776.75,1126.95
2016/12/16,775.88,1131.6
2016/12/17,788.7,NA
2016/12/18,788.4,NA
2016/12/19,788.67,1136.25
2016/12/20,793.09,1125.7
2016/12/21,824.21,1133.65
2016/12/22,834.97,1131.35
2016/12/23,901.31,NA
2016/12/24,891.61,NA
2016/12/25,892.6,NA
2016/12/26,897.33,NA
2016/12/27,930.37,NA
2016/12/28,930.34,1134.6
2016/12/29,963.38,1145.9
2016/12/30,952.15,NA
2016/12/31,958.12,NA
2017/1/1,997.72,NA
2017/1/2,1015.97,NA
2017/1/3,1013.42,1151
2017/1/4,1126.76,1164.25
2017/1/5,994.67,1176.7
2017/1/6,999.65,1175.85
2017/1/7,896.83,NA
2017/1/8,908.14,NA
2017/1/9,910.49,1178.5
2017/1/10,906.05,1189.5
2017/1/11,785.22,1178.55
2017/1/12,780.92,1205.05
2017/1/13,826.29,1190.35
2017/1/14,817.91,NA
2017/1/15,819.55,NA
2017/1/16,830.5,1203
2017/1/17,903.84,1216.05
2017/1/18,906.6,1214.75
2017/1/19,895.798875,1196.05
2017/1/20,893.6210875,1200.55
2017/1/21,895.64,NA
2017/1/22,918.603625,NA
2017/1/23,922.0736125,1212.85
2017/1/24,919.97,1216.8
2017/1/25,893.045625,1195
2017/1/26,915.95625,1189.7
2017/1/27,915.05,1184.85
2017/1/28,920.31225,NA
2017/1/29,915.933,NA
2017/1/30,912.19,1192.8
2017/1/31,964.706075,1212.8
2017/2/1,979.703875,1203.65
2017/2/2,983.42,1221.95
2017/2/3,1013.027,1215.2
2017/2/4,1030.999413,NA
2017/2/5,1034.07,NA
2017/2/6,1024.01375,1226.75
2017/2/7,1050.11,1231
2017/2/8,1052.84,1242.1
2017/2/9,976.103,1236.8
2017/2/10,999.1035,1228.3
2017/2/11,997.59,NA
2017/2/12,1000.604625,NA
2017/2/13,999.877375,1222.25
2017/2/14,1001.2,1230.75
2017/2/15,1012.325988,1224.4
2017/2/16,1035.208125,1240.55
2017/2/17,1035.2,1241.95
2017/2/18,1056.637138,NA
2017/2/19,1052.779286,NA
2017/2/20,1050.87,1237.3
2017/2/21,1123.788429,1233.2
2017/2/22,1123.223188,1236.65
2017/2/23,1130.01,1247.9
2017/2/24,1174.86625,1253.65
2017/2/25,1150.605714,NA
2017/2/26,1150.37,NA
2017/2/27,1190.75195,1257.2
2017/2/28,1187.565286,1255.6
2017/3/1,1190.89,1240.4
2017/3/2,1259.410817,1238.1
2017/3/3,1285.14,1226.5
2017/3/4,1287,NA
2017/3/5,1270.9333,NA
2017/3/6,1275.197375,1230.95
2017/3/7,1279.5,1216.65
2017/3/8,1157.3933,1209.2
2017/3/9,1192.469143,1206.55
2017/3/10,1192.09,1202.65
2017/3/11,1179.159875,NA
2017/3/12,1227.494625,NA
2017/3/13,1227.68,1204.2
2017/3/14,1245.370786,1204.6
2017/3/15,1257.399625,1198.8
2017/3/16,1257,1229.35
2017/3/17,1091.171888,1229.6
2017/3/18,952.2323625,NA
2017/3/19,967.69,NA
2017/3/20,1049.084488,1232.4
2017/3/21,1118.630043,1241.6
2017/3/22,1113,1249.05
2017/3/23,1038.789,1247.5
2017/3/24,941.9197143,1247.5
2017/3/25,927.93,NA
2017/3/26,956.7863125,NA
2017/3/27,1037.22925,1257.55
2017/3/28,1041.04,1257.25
2017/3/29,1040.5755,1251.1
2017/3/30,1037.90455,1248.8
2017/3/31,1034.74,1244.85
2017/4/1,1086.929571,NA
2017/4/2,1099.169125,NA
2017/4/3,1079.99,1247.25
2017/4/4,1141.600363,1257.65
2017/4/5,1133.079314,1245.8
2017/4/6,1133.53,1252.5
2017/4/7,1190.45425,1266.45
2017/4/8,1181.149838,NA
2017/4/9,1184.03,NA
2017/4/10,1207.744875,1250.05
2017/4/11,1226.617038,1252.9
2017/4/12,1219.09,1274.3
2017/4/13,1180.023713,1284.15
2017/4/14,1185.260057,NA
2017/4/15,1170.36,NA
2017/4/16,1186.927413,NA
2017/4/17,1205.634875,NA
2017/4/18,1176.97,1278.95
2017/4/19,1217.930088,1279.05
2017/4/20,1241.686325,1282.1
2017/4/21,1236.63,1281.85
2017/4/22,1261.311225,NA
2017/4/23,1257.988113,NA
2017/4/24,1240.84,1269.4
2017/4/25,1279.414688,1267.8
2017/4/26,1309.109875,1261.85
2017/4/27,1288.02,1262.8
2017/4/28,1331.294429,1266.45
2017/4/29,1334.979038,NA
2017/4/30,1333,NA
2017/5/1,1417.172813,NA
2017/5/2,1452.076288,1255.45
2017/5/3,1447.55,1250.3
2017/5/4,1508.292125,1228.45
2017/5/5,1533.335071,1228.05
2017/5/6,1518.75,NA
2017/5/7,1535.868429,NA
2017/5/8,1640.619225,1229.8
2017/5/9,1651.1,1220.4
2017/5/10,1762.88625,1222.95
2017/5/11,1820.990563,1223.15
2017/5/12,1829,1231.25
2017/5/13,1771.920013,NA
2017/5/14,1776.3165,NA
2017/5/15,1780,1233.3
2017/5/16,1739.031975,1234.2
2017/5/17,1807.485063,1257.4
2017/5/18,1783.98,1255.9
2017/5/19,1961.520488,1252
2017/5/20,2052.909788,NA
2017/5/21,2008.84,NA
2017/5/22,2090.662313,1258.85
2017/5/23,2287.710288,1260.2
2017/5/24,2256.32,1252.55
2017/5/25,2387.206286,1256.95
2017/5/26,2211.976857,1265.05
2017/5/27,2279.82,NA
2017/5/28,2192.9808,NA
2017/5/29,2275.9307,NA
2017/5/30,2290.02,1262.7
2017/5/31,2285.933914,1266.2
2017/6/1,2399.242671,1264.85
2017/6/2,2409.93,1274.95
2017/6/3,2525.765158,NA
2017/6/4,2516.173143,NA
2017/6/5,2529.53,1279.95
2017/6/6,2883.313697,1293.5
2017/6/7,2664.920863,1291
2017/6/8,2683.03,1273.1
2017/6/9,2827.4913,1266.55
2017/6/10,2845.372857,NA
2017/6/11,2898.63,NA
2017/6/12,2657.675063,1266.4
2017/6/13,2748.185086,1262
2017/6/14,2706,1275.5
2017/6/15,2442.48025,1254.55
2017/6/16,2464.959814,1255.4
2017/6/17,2477.94,NA
2017/6/18,2507.389252,NA
2017/6/19,2617.210263,1248.15
2017/6/20,2600,1242.2
2017/6/21,2671.04325,1242.5
2017/6/22,2727.288013,1250.8
2017/6/23,2713.48,1255.7
2017/6/24,2589.164888,NA
2017/6/25,2512.366286,NA
2017/6/26,2502.03,1245.25
2017/6/27,2517.903114,1249.55
2017/6/28,2585.349186,1248
2017/6/29,2558.3,1243.5
2017/6/30,2477.641375,1242.25
2017/7/1,2501.191343,NA
2017/7/2,2421.26,NA
2017/7/3,2561.225429,1229.25
2017/7/4,2599.729838,1223.75
2017/7/5,2598.89,1220.3
2017/7/6,2609.96775,1224.9
2017/7/7,2491.201214,1215.65
2017/7/8,2502.86,NA
2017/7/9,2536.238938,NA
2017/7/10,2366.170143,1211.9
2017/7/11,2327.09,1211.05
2017/7/12,2385.748571,1218.8
2017/7/13,2354.783417,1218.9
2017/7/14,2338.49,1230.3
2017/7/15,2058.9956,NA
2017/7/16,1931.2143,NA
2017/7/17,1910.96,1234.1
2017/7/18,2320.12225,1240.75
2017/7/19,2264.7657,1242.15
2017/7/20,2265.21,1238.7
2017/7/21,2682.195363,1248.55
2017/7/22,2807.609857,NA
2017/7/23,2825.51,NA
2017/7/24,2751.821029,1255.55
2017/7/25,2560.997917,1254.4
2017/7/26,2564.3,1248.1
2017/7/27,2647.625,1261.1
2017/7/28,2781.636583,1264.9
2017/7/29,2784.8,NA
2017/7/30,2745.955417,NA
2017/7/31,2866.431667,1267.55
2017/8/1,2862.9,1270.95
2017/8/2,2693.633983,1269.6
2017/8/3,2794.117717,1268.1
2017/8/4,2790,1257.7
2017/8/5,3218.115017,NA
2017/8/6,3252.562533,NA
2017/8/7,3210.2,1258
2017/8/8,3457.374333,1261.8
2017/8/9,3357.326317,1271.05
2017/8/10,3340.28,1284.4
2017/8/11,3632.506667,1286.1
2017/8/12,3852.802914,NA
2017/8/13,3868.52,NA
2017/8/14,4282.992,1282.3
2017/8/15,4217.028329,1270.3
2017/8/16,4179.97,1272.75
