"","Date","bitcoin_price","bitcoin_ma5","bitcoin_ma30","bitcoin_ma180","bitcoin_perdict","bitcoin_perdict_ma5","bitcoin_perdict_ma30","bitcoin_perdict_ma180","gold_price","gold_ma5","gold_ma30","gold_ma180","gold_perdict","gold_perdict_ma5","gold_perdict_ma30","gold_perdict_ma180"
"1","2016/9/11",621.65,NA,NA,NA,621.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016/9/12",609.67,NA,NA,NA,621.65,NA,NA,NA,1324.6,NA,NA,NA,1324.6,NA,NA,NA
"3","2016/9/13",610.92,612.288,NA,NA,621.65,621.65,NA,NA,1323.65,NA,NA,NA,1324.6,NA,NA,NA
"4","2016/9/14",608.82,609.78,NA,NA,621.65,621.65,NA,NA,1321.75,1317.83,NA,NA,1324.6,1324.6,NA,NA
"5","2016/9/15",610.38,609.254,NA,NA,621.65,621.65,NA,NA,1310.8,1315.88,NA,NA,1324.6,1324.6,NA,NA
"6","2016/9/16",609.11,609.386,NA,NA,621.65,621.65,NA,NA,1308.35,1313.91,NA,NA,1324.6,1324.6,NA,NA
"7","2016/9/17",607.04,609.66,NA,NA,621.65,621.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016/9/18",611.58,609.316,NA,NA,621.65,621.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016/9/19",610.19,607.27,NA,NA,621.65,621.25,NA,NA,1314.85,1314.78,NA,NA,1324.6,1324.6,NA,NA
"10","2016/9/20",608.66,605.346,NA,NA,621.65,620.85,NA,NA,1313.8,1320.44,NA,NA,1324.6,1324.6,NA,NA
"11","2016/9/21",598.88,601.846,NA,NA,619.65,620.45,NA,NA,1326.1,1326.5,NA,NA,1324.6,1324.6,NA,NA
"12","2016/9/22",597.42,600.584,NA,NA,619.65,620.25,NA,NA,1339.1,1331.63,NA,NA,1324.6,1324.6,NA,NA
"13","2016/9/23",594.08,599.2,NA,NA,619.65,620.05,NA,NA,1338.65,1334.27,NA,NA,1324.6,1324.6,NA,NA
"14","2016/9/24",603.88,599.22,NA,NA,620.65,620.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016/9/25",601.74,600.928,608.718,NA,620.65,620.65,618.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016/9/26",598.98,603.246,608.488666666667,NA,622.65,620.65,617.916666666667,NA,1340.5,1333.55,NA,NA,1324.6,1324.6,NA,NA
"17","2016/9/27",605.96,603.24,609.333333333333,NA,619.65,620.45,617.583333333333,NA,1327,1329.35,NA,NA,1324.6,1324.6,NA,NA
"18","2016/9/28",605.67,604.77,610.168,NA,619.65,620.25,617.116666666667,NA,1322.5,1326.12,NA,NA,1324.6,1324.6,NA,NA
