Date,bitcoin,gold,pred_bidcoin,pred_gold
2016/9/11,621.65,,611.0842857142858,
2016/9/12,609.67,1324.6,609.6457142857143,
2016/9/13,610.92,1323.65,609.72,
2016/9/14,608.82,1321.75,609.3971428571429,
2016/9/15,610.38,1310.8,607.9771428571429,
2016/9/16,609.11,1308.35,606.1257142857143,
2016/9/17,607.04,,603.9785714285715,
2016/9/18,611.58,,603.5271428571428,
2016/9/19,610.19,1314.85,602.1214285714286,
2016/9/20,608.66,1313.8,600.5199999999999,
2016/9/21,598.88,1326.1,600.1342857142857,
2016/9/22,597.42,1339.1,601.1042857142857,
2016/9/23,594.08,1338.65,602.0228571428572,
2016/9/24,603.88,,604.21,
2016/9/25,601.74,,605.7728571428571,
2016/9/26,598.98,1340.5,607.3785714285714,
2016/9/27,605.96,1327.0,609.2171428571429,
2016/9/28,605.67,1322.5,609.74,
2016/9/29,603.85,1318.1,609.9557142857142,
2016/9/30,609.39,1322.5,611.1314285714286,
2016/10/1,614.82,,612.2485714285714,
2016/10/2,612.98,,612.2371428571429,
2016/10/3,611.85,1313.3,612.6185714285714,
2016/10/4,609.62,1283.3,613.4314285714287,
2016/10/5,607.18,1269.4,614.1671428571428,
2016/10/6,612.08,1254.5,618.1428571428571,
2016/10/7,617.21,1258.75,621.5542857142857,
2016/10/8,614.74,,623.9557142857144,
2016/10/9,615.65,,627.2700000000001,
2016/10/10,617.54,1259.5,630.9514285714286,
2016/10/11,614.77,1253.45,634.0128571428571,
2016/10/12,635.01,1256.5,637.0871428571429,
2016/10/13,635.96,1261.05,636.2642857142857,
2016/10/14,634.02,1251.75,635.0871428571429,
2016/10/15,637.94,,634.7871428571428,
2016/10/16,641.42,,637.2928571428571,
2016/10/17,638.97,1254.8,638.9828571428571,
2016/10/18,636.29,1258.2,640.7571428571429,
2016/10/19,629.25,1269.05,643.4742857142857,
2016/10/20,627.72,1271.65,646.6457142857142,
2016/10/21,631.92,1266.05,654.4314285714287,
2016/10/22,655.48,,662.397142857143,
2016/10/23,653.25,,666.7442857142858,
2016/10/24,651.39,1265.55,673.1371428571427,
2016/10/25,655.31,1269.4,680.3671428571428,
2016/10/26,651.45,1270.5,686.3242857142858,
2016/10/27,682.22,1266.25,698.0214285714285,
2016/10/28,687.68,1273.0,698.5857142857143,
2016/10/29,685.91,,698.0157142857144,
2016/10/30,698.0,,700.7128571428573,
2016/10/31,702.0,1272.0,702.7128571428572,
2016/11/1,697.01,1288.45,703.85,
2016/11/2,733.33,1303.75,705.5585714285716,
2016/11/3,686.17,1301.0,703.7871428571428,
2016/11/4,683.69,1302.8,708.8342857142858,
2016/11/5,704.79,,713.3714285714285,
2016/11/6,712.0,,713.2171428571429,
2016/11/7,709.96,1283.05,711.8285714285714,
2016/11/8,708.97,1282.35,711.3285714285714,
2016/11/9,720.93,1281.4,711.6057142857143,
2016/11/10,721.5,1267.5,710.2914285714285,
2016/11/11,715.45,1236.45,712.5,
2016/11/12,703.71,,717.0814285714285,
2016/11/13,702.28,,723.5485714285714,
2016/11/14,706.46,1213.6,727.3742857142855,
2016/11/15,710.91,1226.95,731.9557142857142,
2016/11/16,711.73,1229.2,735.6785714285714,
